CNPJ,RazaoSocial,Trimestre,Ano,ValorDespesas
20190301000000,4626691,UNKNOWN,unknown,46904497.0
20190601000000,4591166,UNKNOWN,unknown,47012339.0
20190901000000,4553641,UNKNOWN,unknown,47022208.0
20191201000000,4460374,UNKNOWN,unknown,47070920.0
20200301000000,4385831,UNKNOWN,unknown,47065883.0
20200601000000,4328557,UNKNOWN,unknown,46649574.0
20200901000000,4294472,UNKNOWN,unknown,46971661.0
20201201000000,4255895,UNKNOWN,unknown,47463849.0
20210301000000,4224546,UNKNOWN,unknown,47763039.0
20210601000000,4180097,UNKNOWN,unknown,48082518.0
20210901000000,4138263,UNKNOWN,unknown,48461239.0
20211201000000,4099328,UNKNOWN,unknown,48819335.0
20220301000000,4047097,UNKNOWN,unknown,48982101.0
20220601000000,3982556,UNKNOWN,unknown,49506633.0
20220901000000,3973744,UNKNOWN,unknown,49866730.0
20221201000000,3934116,UNKNOWN,unknown,50059288.0
20230301000000,3925522,UNKNOWN,unknown,50099742.0
20230601000000,3914503,UNKNOWN,unknown,50287229.0
20230901000000,3926738,UNKNOWN,unknown,50672429.0
20231201000000,3928118,UNKNOWN,unknown,50828116.0
20240301000000,3926322,UNKNOWN,unknown,50843458.0
00000000062024,,UNKNOWN,unknown,
00000000002024,,UNKNOWN,unknown,
00000000000001,,UNKNOWN,unknown,
00000000000002,,UNKNOWN,unknown,
00000420202024,,UNKNOWN,unknown,
00000000062024,,UNKNOWN,unknown,
00000000002024,,UNKNOWN,unknown,
00000000000001,,UNKNOWN,unknown,
00000022017100,,UNKNOWN,unknown,
00000000000003,,UNKNOWN,unknown,
00000020172024,,UNKNOWN,unknown,
20170301000000,362894,UNKNOWN,unknown,4559493.0
20170601000000,358744,UNKNOWN,unknown,4516368.0
20170901000000,357740,UNKNOWN,unknown,4490554.0
20171201000000,354253,UNKNOWN,unknown,4440299.0
20180301000000,351318,UNKNOWN,unknown,4401687.0
20180601000000,350660,UNKNOWN,unknown,4380569.0
20180901000000,346409,UNKNOWN,unknown,4348313.0
20181201000000,346518,UNKNOWN,unknown,4317723.0
20190301000000,338213,UNKNOWN,unknown,4270657.0
20190601000000,340472,UNKNOWN,unknown,4255108.0
20190901000000,328425,UNKNOWN,unknown,4239789.0
20191201000000,325325,UNKNOWN,unknown,4226950.0
20200301000000,327688,UNKNOWN,unknown,4210228.0
20200601000000,331961,UNKNOWN,unknown,4175050.0
20200901000000,340287,UNKNOWN,unknown,4179575.0
20201201000000,346091,UNKNOWN,unknown,4173883.0
